league,info,,,,
A FFA Cup ,no,,,,
A U20W C ,no,,,,
AAS     ,no,,,,
AAS WNC,no,,,,
AB PR,no,,,,
AB U20 L ,no,,,,
AC FA CUP,no,,,,
ACGL,no,,,,
ACL2,no,,,,
ACLE,no,,,,
ACP W   ,no,,,,
ACT  M(a),no,,,,
ACT  MUQF,no,,,,
ACT  MUSF,no,,,,
ACT M(a)  ,no,,,,
ACT Ma ,no,,,,
ADT M(a),no,,,,
AEG C ,no,,,,
AEGT YL,no,,,,
AFB,no,,,,
AFB2,no,,,,
AFC  ,no,,,,
AFC CL,no,,,,
AFC Cup,no,,,,
AFC FC ,no,,,,
AFC U17,no,,,,
AFC U20,no,,,,
AFC U23,no,,,,
AFC W U17 ,no,,,,
AFF Cup,no,,,,
AFF U16 ,no,,,,
AGB LE ,no,,,,
AGS,no,,,,
AGSW,no,,,,
AIG RL  ,no,,,,
ALB Cup,no,,,,
ALB D1,alb_kategoria-superiore,,,,
ALB D2,no,,,,
ALG CUP ,no,,,,
ALG D1,no,,,,
ALG D2E,no,,,,
ALG D2W,no,,,,
ALG LC ,no,,,,
ALG U19,no,,,,
ALG U21,no,,,,
ALG UC   ,no,,,,
ALG WL   ,no,,,,
AMEC,no,,,,
ANDSL ,and_1a-divisio,,,,
ANNLR   ,no,,,,
ANQ U23,no,,,,
ANSW L ,no,,,,
AOC ,no,,,,
APB W,no,,,,
APBoff,no,,,,
AQC,no,,,,
ARFC,no,,,,
ARG B M,no,,,,
ARG B M(a),no,,,,
ARG B MPPO,no,,,,
ARG B MUSF,no,,,,
ARG B Ma ,no,,,,
ARG B Moff ,no,,,,
ARG C,no,,,,
ARG C M,no,,,,
ARG C MA,no,,,,
ARG C MB,no,,,,
ARG D1,arg_primera-division,,,,
ARG D2 ,no,,,,
ARG D2A,no,,,,
ARG D2B,no,,,,
ARG D2PPO,no,,,,
ARG D2off ,no,,,,
ARG D2off-S,no,,,,
ARG D3FA,no,,,,
ARG RC  ,no,,,,
ARG RESL,no,,,,
ARG Re Cup,no,,,,
ARG Rl,no,,,,
ARG TB,no,,,,
ARG WRl,no,,,,
ARGW D1,no,,,,
ARM CUP,no,,,,
ARM D1 ,arm_premier-league,,,,
ARM D2,no,,,,
ARU D1,no,,,,
ASEAN CC,no,,,,
ASEAN U16 ,no,,,,
ASEAN U19,no,,,,
AUS AC,no,,,,
AUS BPLD1,no,,,,
AUS CGP  ,no,,,,
AUS CGP B,no,,,,
AUS CTL U23,no,,,,
AUS D1  ,aus_a-league,,,,
AUS D3C,no,,,,
AUS D3E,no,,,,
AUS D3W,no,,,,
AUS DPL ,no,,,,
AUS FWD1  ,no,,,,
AUS L,no,,,,
AUS NSW    ,no,,,,
AUS NSW PL ,no,,,,
AUS NSW WPL,no,,,,
AUS NSWC,no,,,,
AUS NSWC W,no,,,,
AUS NSWSL  ,no,,,,
AUS PLNS,no,,,,
AUS QPS ,no,,,,
AUS QSL   ,no,,,,
AUS SASL,no,,,,
AUS U20 NSWSL,no,,,,
AUS V U20 ,no,,,,
AUS VPL ,no,,,,
AUS VS L ,no,,,,
AUS VWC,no,,,,
AUS WAL,no,,,,
AUS WALR  ,no,,,,
AUS WNSW,no,,,,
AUS WNSWR,no,,,,
AUS WPL  ,no,,,,
AUS WQSL  ,no,,,,
AUT CUP,no,,,,
AUT CW ,no,,,,
AUT D1 ,aut_bundesliga,,,,
